"","name","rank","playerid","state"
"425","Devon Da Dungmali","71","29103","SKM"
"426","M. Anshad","71","31941","A&N"
"427","Parthiv Parthiv","71","37752","HP"
"428","Lalrinawma ,","71","45803","MIZ"
"429","Manmohan Kushwah","71","47884","TPR"
"430","Balwant ,","71","48451","A&N"
"431","Tanmaya Kumar Sahu","71","48804","ORI"
"432","Sunjith S. ","72","2996","KER"
"433","Manjush Mohan  K. K. ","72","3314","CAG"
"434","Gaurav Parmar ","72","3542","CAG"
"435","Aman Farogh Sanjay","72","3982","AI"
"436","Jacob Thomas","72","4654","KER"
"437","Siddharth Pratap Singh","72","4720","CG"
"438","Rohith M.","72","6399","KTK"
"439","Sanjay Thakur","72","6485","MP"
"440","Hemanth M.G.","72","8004","KTK"
"441","Tonmoy Bikash Boruah","72","8297","ASM"
"442","Akash Chandran","72","8538","TS"
"443","Sidarth T.","72","9635","TN"
"444","Abilash B.","72","9686","KTK"
"445","Ganesh Vittalji Kokani","72","10227","KTK"
"446","Sai Satya Sarvesh Yakala","72","10408","PY"
"447","Sravanth Suri","72","10783","TS"
"448","Saikat Banerjee","72","12236","WB"
"449","Thamarai Selvam A.","72","12527","TN"
"450","Karthikeyan M.","72","12864","TN"
"451","Nibir Ranjan Choudhury","72","13071","ASM"
"452","Jain Nigam","72","13163","KTK"
"453","Aarush Srivastav","72","15270","UP"
"454","Rajan Yadav","72","15271","UP"
"455","Aditya Mondal","72","15699","WB"
"456","Dhanvantry Shavak Parashar","72","16333","UTR"
"457","Bhargav S.","72","16354","KTK"
"458","Aman Noushad","72","16585","KER"
"459","Sathiya Niranjan M.A.","72","16828","TN"
"460","Sai Prudhvi Saranam","72","18266","TS"
"461","Lucky ,","72","18572","DLI"
"462","Yogesh Kumar","72","18574","DLI"
"463","Gnana Dattu T.T.","72","18736","TS"
"464","Sanskar Saraswat","72","18778","RAJ"
"465","Sri Mohit Veera Venkata Satyan K.","72","18927","AP"
"466","Sankalp Chandragurala","72","20592","MAH"
"467","Anirudh P.","72","20891","TN"
"468","Raj Shukla","72","21931","RAJ"
"469","Ayaaz Malik","72","22008","DLI"
"470","Prakhar Banchhor","72","25087","MP"
"471","Dhileepan V.","72","25109","TN"
"472","Aryan Sharma","72","25137","DLI"
"473","Bhuvan Singh","72","25320","RAJ"
"474","Shivam Srivastav","72","26649","UP"
"475","Pradeep  Chaudhary","72","28409","UP"
"476","Daksh Gautam","72","30213","UP"
"477","Devvart Mann","72","30829","HAR"
"478","Gobinath V.","72","33217","TN"
"479","Sourabh Nain","72","35057","HAR"
"480","Rangesh V. S.","72","38637","TN"
"481","Adithya Varma","72","40793","KTK"
"482","Vishal Mahar","72","46552","UTR"
"483","Player Name","RankPlayer NamePlayer IDStateRanking PointsGrand Total","Player ID","State"
"484","Adita Rao","1","16557","GUJ"
"485","Anupama Upadhyaya","2","17285","HAR"
"486","Shruti Mundada","3","5058","MAH"
"487","Mansi Singh","4","12279","UP"
"488","Purva Barve","5","6899","MAH"
"489","Isharani Baruah","6","21496","ASM"
"490","Ira Sharma","7","8208","HAR"
"491","Aditi Bhatt","8","13446","UTR"
"492","Shriyanshi Valishetty","9","17479","TS"
"493","Aashi Rawat","10","13979","DLI"
"494","Meghana Reddy M. ","11","12505","TS"
"495","Ashmita  Chaliha","12","3107","ASM"
"496","Unnati Hooda","13","18296","HAR"
"497","Deepshikha Singh","14","17509","DLI"
"498","Sakshi Phogat","15","19315","RAJ"
"499","Surya Charishma Tamiri","16","18137","AP"
"500","Madhumita Narayan","17","24756","MAH"
"501","Aalisha Naik","18","16737","MAH"
"502","Tasnim Mir","19","14604","GUJ"
"503","Anura Prabhudesai","20","2957","RLY"
"504","Devika Sihag","20","18383","HAR"
"505","Sreshta Reddy K.","21","21251","TS"
"506","Shriyanshi  Pardeshi","22","2418","MP"
"507","Saad Dharmadhikari","23","18407","MAH"
"508","Tanya Hemanth","24","8267","KTK"
"509","Aakarshi Kashyap","25","7196","AAI"
"510","Tara Shah","26","15082","MAH"
"511","Deepshika Neredimelli","27","22756","TS"
"512","Pranavi N. ","28","15052","TN"
"513","Likhita Srivastava","29","15300","DLI"
"514","Shreya Lele","30","20926","GUJ"
"515","Vijetha Harish","31","10488","KTK"
"516","Bhavya Rishi ","32","6291","DLI"
"517","Malvika Bansod","33","7658","MAH"
"518","Maheshwari Devi Kshetrimayum","34","19221","MNP"
"519","Rhucha Sawant","35","17423","MAH"
"520","Neha  Pandit","36","707","MAH"
"521","Amolika Singh","37","10415","UP"
"522","Navya Kanderi","38","19030","AP"
"523","Hrissha Dube","39","10939","MAH"
"524","Taneesha Singh","40","9641","UP"
"525","Radhika Sharma","40","13809","PNB"
