"","name","rank","playerid","state"
"606","Nupur Wadhwa","86","18259","HAR"
"607","Samayara Panwar","86","19336","UP"
"608","Naishaa Kaur Bhatoye","86","20455","MAH"
"609","Prutha Dekate","86","20653","MAH"
"610","Rakshitha Sree S.","86","22887","TN"
"611","Muskan Sangwan","86","23011","HAR"
"612","Rutvi Baloni","86","23030","GUJ"
"613","Sheena Narwal","86","29051","HAR"
"614","Yajum  Laa","87","3945","ANP"
"615","Akanksha Pandey","87","13556","HP"
"616","Rashmitha Donepudi","87","15991","AP"
"617","Manya Ralhan","87","21416","PNB"
"618","Ruth Misha Vinod","88","938","KTK"
"619","Himanshi Rawat","88","5174","UTR"
"620","Neysa Cariappa A.","88","14698","KTK"
"621","Sakshi Gahlawat","88","15782","HAR"
"622","Vidushi Singh","88","17481","DLI"
"623","Srinitya Naraharisetti","88","18054","AP"
"624","Janani Suresh Kumar","88","21128","TN"
"625","Muskaan Khan","88","21476","KTK"
"626","Anoushka Kumar","88","22442","DLI"
"627","Devika Kawale","88","26031","MAH"
"628","Ojal Rajak","88","28654","MAH"
"629","Tanisha Singh","88","34395","RAJ"
"630","Mayuri Barman","88","35295","ASM"
"631","Sri Krishna Priya K. ","89","3658","RBI"
"632","Pinky Karki","89","5632","ANP"
"633","Garima Singh","89","7445","CHG"
"634","Maithili Pal","89","9740","TPR"
"635","Gauri Chitte","89","10425","MP"
"636","Angita Naorem","89","10553","MNP"
"637","Rashika Das","89","12268","WB"
"638","Pragya Juliani Bodra","89","13051","JAR"
"639","Tejaswani Thakur","89","13561","HP"
"640","Reeva Evangelin M.","89","14575","TN"
"641","Atmajayita Ray Barman","89","15436","TPR"
"642","Yashica ,","89","15792","HAR"
"643","Disha  Sarma","89","16107","ASM"
"644","Sarah Sharma","89","16937","JAR"
"645","Gowrikrishna T.R.","89","17721","KER"
"646","Vilinda Chanu Huidrom","89","17770","MNP"
"647","Swati  Solanki","89","18931","MP"
"648","Karishma Khardikar","89","21104","CG"
"649","Adarshini Shri N.B.","89","23066","TN"
"650","Sunandita Bista","89","24953","SKM"
"651","Janhavi Mahale","89","25305","GOA"
"652","Sruti Swain","89","25414","ORI"
"653","Swagatika Rout","89","26337","ORI"
"654","Elsarica Umdor","89","26594","MEG"
"655","Krishika Mahajan","89","28849","J&K"
"656","Puja Dolui","89","29505","WB"
"657","Anisha  Rai","89","29939","SKM"
"658","Prabha Wati S.","89","31457","A&N"
"659","Montilly Pul","89","32091","ANP"
"660","Jananika R.","89","35100","PY"
"661","Lalrempuii ,","89","35382","MIZ"
"662","Pooja G.","89","45670","A&N"
"663","Anita  Ohlan","90","943","RLY"
"664","Nisha  Karamchand","90","2167","CHG"
"665","Gandhi Kavya ","90","5628","DLI"
"666","Akshita  A.","90","5677","AP"
"667","Nivetha M.","90","6146","TN"
"668","Shrishti Gupta","90","8389","MP"
"669","Princhee Das","90","10003","ASM"
"670","Tanishka Deshpande","90","11535","MAH"
"671","Akshaya A. ","90","12215","TN"
"672","Seema Sharma","90","13592","RAJ"
"673","Arundhati M.N.","90","13640","KTK"
"674","Liza Taank","90","14601","PNB"
"675","Methini V.D.","90","15571","TN"
"676","Dhanyaa Sri S.","90","15628","TN"
"677","Pinak Rokde","90","15849","MAH"
"678","Hiral Chouhan","90","15869","CG"
"679","Bhavini Dalpatia","90","15909","J&K"
"680","Karnika Sree S.","90","16386","KTK"
"681","Sri Gayathri S.","90","16420","TN"
"682","Shivani Vaishnav Devi Gangula  ","90","16531","AP"
"683","Jayantika Rathore","90","17569","KTK"
"684","Niki Rapria","90","17624","HAR"
"685","Sivaranjani Sivakumar","90","18465","TN"
"686","Ayushi Bhat","90","20446","KTK"
"687","Siya Singh","90","20456","MAH"
"688","Ananya Durugkar","90","20545","MAH"
"689","Phani Vennela Mudunuri","90","20624","TS"
"690","Suhina Roy","90","20922","KTK"
"691","Jayantika Rautela","90","21405","UTR"
"692","Kanika Balhara","90","21735","HAR"
"693","Priya Singh","90","21905","DLI"
"694","Niyati Alok","90","22658","GUJ"
"695","Ananya Agrawal","90","23097","MAH"
"696","Sneha  S.","90","23343","KTK"
"697","Chitwan Khatri","90","23768","HAR"
"698","Sanika Patankar","90","24082","MAH"
"699","Sadhana Fenelon","90","24168","TN"
"700","Aditi Kashnia","90","24284","RAJ"
"701","Durga Isha Kandrapu","90","25240","AP"
"702","Aarya Korgaonkar","90","25302","MAH"
"703","Ashe Singh","90","25551","UP"
"704","A Bhonsle Driti","90","25746","TS"
"705","Tanvi Reddy Andluri","90","25982","TS"
"706","Sruthika Senthil","90","26192","TN"
"707","Aneri Kotak","90","26335","GUJ"
"708","Keerthy Manchala","90","28148","TS"
"709","Skiedeep Kour","90","28510","J&K"
"710","Naina Chauhan","90","28585","DLI"
"711","Saanvi Chugh","90","28801","DLI"
"712","Nehal Gosawi","90","29600","MAH"
"713","Ruchi Chahal","90","29752","HAR"
"714","Aroma Zahid","90","30764","DLI"
"715","Sunaina Malik","90","32057","HAR"
"716","Poojitha Gadiraju","90","32233","AP"
"717","Medhavi Nagar","90","34970","HAR"
"718","Sakshi Kurbkhelgi","90","35461","GOA"
"719","Taranjeet Kaur","90","35607","UP"
"720","Nimar Kaur Virk","90","36174","CHG"
"721","Jasmeet Kaur","90","36388","CHG"
"722","Tanu Malik","90","36993","HAR"
"723","Anika Sinha","90","39397","DLI"
"724","Player Name","RankPlayer NamePlayer IDStateRanking PointsGrand Total","Player ID","State"
"725","Priya Devi Konjengbam","1","23088","MNP"
"726","Khushi Gupta","2","8316","DLI"
"727","Varshini V. S.","3","7190","TN"
"728","Arulbala R.","3","19413","TN"
"729","Kavya Gupta","4","14998","DLI"
"730","Deepshikha Singh","5","17509","DLI"
"731","Ridhi Kaur Toor","6","18440","HAR"
"732","Shikha Gautam","7","4108","KTK"
"733","Anagha Pai","8","16217","TS"
"734","Kanika Kanwal","9","3156","RLY"
"735","Simran Singhi","10","5562","MAH"
"736","Ritika Thaker","10","6055","MAH"
"737","Mahi Naresh","11","17815","UP"
"738","Diksha  Choudhary","12","3596","CG"
"739","Navdha Manglam ","12","21608","DLI"
"740","Shivani Santosh Singh","13","8213","HAR"
"741","Mamaikya Lanka","13","17864","AP"
"742","Akanksha Matte","13","18649","AP"
"743","Arathi Sara  Sunil","14","2792","KER"
"744","Anura Prabhudesai","15","2957","GOA"
"745","Riya Mookerjee","15","3277","RLY"
"746","Shruti Mishra","16","9640","UP"
"747","Diya Arun","17","9535","KER"
"748","Archana Varghese","17","20556","KER"
"749","Samriddhi Singh","18","13314","UP"
"750","Sonali Singh","18","17824","UP"
"751","Shailja Shukla","19","9930","UP"
"752","Rutaparna Panda","20","6343","PSPB"
"753","Swetaparna Panda","20","14503","ORI"
"754","Ashwini Bhat K. ","21","4011","KTK"
"755","Priyanka Pant","22","19651","MP"
"756","Gayatri Gopichand Pullela","23","8590","TS"
"757","Treesa Jolly","23","10709","KER"
"758","Nila V. ","24","3659","TN"
"759","Ashwini  Ponnappa","25","962","PET"
"760","Tanisha Crasto","25","24286","GOA"
"761","Anagha Karandikar","26","17585","MAH"
"762","Aishwarya Mehta","27","22472","MP"
"763","Maneesha  K. ","28","2408","RBI"
"764","Ramya C.V.","29","11021","KTK"
"765","Sonika Sai P. ","30","3879","AP"
"766","Shriyanshi Valishetty","31","17479","TS"
"767","Gloria Athavale V.","32","17147","KTK"
"768","Rashmi Ganesh","32","19620","KTK"
"769","Dhanyaa N.","33","18476","TN"
"770","Shriyanshi  Pardeshi","34","2418","MP"
"771","Rasika Raje","35","3534","RBI"
"772","Divya B. R.","36","9533","KER"
"773","Yogita Salve","37","21194","MAH"
"774","Harika V. ","38","2938","TS"
"775","Anusha C.S","39","11554","TN"
"776","Reeva Evangelin M.","39","14575","TN"
"777","Rageshri Garg","40","12353","UTR"
"778","Anamika Singh","41","24086","MAH"
"779","Ekata  Kalia","42","3033","HAR"
"780","Maini Boruah","43","9988","ASM"
"781","Gowrikrishna T.R.","44","17721","KER"
"782","Unnati Jaral ,","45","22504","J&K"
"783","Krishika Mahajan","45","28849","J&K"
"784","Vennala K.","46","18954","TS"
"785","Riduvarshini Ramasamy","46","36742","TN"
"786","Apeksha  Nayak","47","4000","KTK"
"787","Divyanshi Sharma","48","10835","UTR"
"788","Bharti Pal","49","15273","DLI"
"789","Aparna  Balan","50","187","PET"
"790","Sneha Rajwar","51","13510","UTR"
"791","Gagana N.S. ","52","8883","KTK"
"792","Gayathri Nambiar","52","16263","KER"
"793","Surya Charishma Tamiri","53","18137","AP"
"794","Ishu Malik","54","36992","HAR"
"795","Tanu Malik","54","36993","HAR"
"796","Khushi Thakkar","55","13610","DLI"
"797","Deepta   S.","55","16831","TN"
"798","Vaishnavi Khadkekar","55","19680","TS"
"799","Unnati Hooda","56","18296","HAR"
"800","Palak Arora","56","18381","HAR"
"801","Ningshi Block  Hazarika","57","3112","CAG"
"802","Amrutha P.","58","14858","KTK"
"803","Tanvi Sharma","58","18035","PNB"
"804","Pinky Karki","59","5632","ANP"
"805","Yashica ,","59","15792","HAR"
"806","Ishani Waldia","60","18048","DLI"
"807","Maheshwari Devi Kshetrimayum","60","19221","MNP"
"808","Pooja D.","61","5690","AP"
"809","Thanushree R.","61","6674","TN"
"810","Ashritha Kandula","61","17448","TS"
"811","Rashmitha Donepudi","62","15991","AP"
"812","Mehreen Riza","63","7252","KER"
"813","Sania Sikkandar","63","23547","TN"
"814","Rijul Saini","63","24832","HAR"
"815","Poorvisha  S. Ram ","64","2883","RBI"
"816","Pranjal Prabhu  Chimulkar","64","3964","GOA"
"817","Saumya Singh","64","7771","GUJ"
"818","Shrishti Gupta","64","8389","MP"
"819","Radhika Sharma","64","13809","PNB"
"820","Sakshi Gahlawat","64","15782","HAR"
"821","Keerthika C.H.","64","17551","KER"
"822","Sri Sai Sravya Lakkamraju","64","18268","TS"
"823","Bhargavi K.","65","5699","TS"
"824","Gayathri Rani Jaiswal","66","14197","KTK"
"825","Mahek Nayak","66","19043","MAH"
"826","Trisha Hegde","67","7142","KTK"
"827","Nikkita Joseph","68","7646","MAH"
"828","Sonali Mirkhelkar","68","21985","MAH"
"829","Sikki Reddy N.","69","1835","PET"
"830","Himanshi Rawat","70","5174","UTR"
"831","Akshita  A.","70","5677","AP"
"832","Nayana Oasis ","70","16325","KER"
"833","Deethya ,","71","5874","KTK"
"834","Ananya Praveen","71","9385","KTK"
"835","Prerna Shet","71","20944","KTK"
"836","Manya Ralhan","71","21416","PNB"
"837","Apoorva ,","71","26068","HAR"
"838","Somibala Devi M.","72","660","MNP"
"839","Vaishnavi K.","72","5701","TS"
"840","Yania Taring","72","5785","ANP"
"841","Manisha Rani Tirkey","72","6334","JAR"
"842","Deyashi Kanjibillya","72","6336","JAR"
"843","Ishita Kumar Manchander","72","7447","CHG"
"844","Nikita ,","72","8566","HAR"
"845","Arpita Malik","72","15005","CHG"
"846","Vilinda Chanu Huidrom","72","17770","MNP"
"847","Tashi Choden Gurung ","72","25778","SKM"
"848","Lalrempuii ,","72","35382","MIZ"
"849","Lalthazuali Abigail","72","35384","MIZ"
"850","Shekhotolu Puro","72","37439","NAG"
"851","Tovali Shohe","72","40987","NAG"
"852","Rinzing Uden Bhutia","72","45667","SKM"
"853","Thulasi P. C. ","73","1585","PET"
"854","Nimar Kaur Virk","73","36174","CHG"
"855","Sudha Kalyani D. ","74","2884","CAG"
"856","Shenan Christian","74","3493","GUJ"
"857","Gauri Chitte","74","10425","MP"
"858","Swati  Solanki","74","18931","MP"
"859","Kazmeen Khan","74","19122","RAJ"
"860","Saloni Kumari","74","20827","BHR"
"861","Karishma Khardikar","74","21104","CG"
"862","Anees Kowser J. ","75","746","TN"
"863","Bornali  Konwar","75","2952","ASM"
"864","Yuti Gajjar","75","9582","GUJ"
"865","Uthsava Palit","75","9880","WB"
"866","Poojitha Goudi Cherla","75","10801","TS"
"867","Jayashree G.","75","12019","KTK"
"868","Farhana K.","75","13294","TN"
"869","Nardhana V.R.","75","16270","TN"
"870","Karnika Sree S.","75","16386","KTK"
"871","Anjali Dilish","75","19795","KTK"
"872","Vanshika Chhiba","75","21279","RAJ"
"873","Prashanthi Reddy Tummuru","75","26513","TS"
"874","Alisha Mahmood Khan","75","30634","MAH"
"875","Lalita Dahiya","76","3172","HAR"
"876","Ramya Tulasi B. V.","76","3661","TN"
"877","Shiwangi  Singh","76","4278","UP"
"878","Shruti Mundada","76","5058","MAH"
"879","Krishna Priya Sujith P.","76","9462","KER"
"880","Tanishka Deshpande","76","11535","MAH"
"881","Aadya Variyath","76","11762","KER"
"882","Akshaya Arumugam","76","14758","TN"
"883","Srinitya Naraharisetti","76","18054","AP"
"884","Dharuniga S. ","76","19414","TN"
"885","Deepali  Gupta","77","2954","CG"
"886","Ashna  Roy","77","3934","KER"
"887","Dipti Kuity","77","5175","GUJ"
"888","Agnus Swapna S.","77","9949","PY"
"889","Prerna Dawar","77","10720","PNB"
"890","Simran Singh","77","10791","BHR"
"891","Anushree Mahanta","77","13195","ASM"
"892","Seema Sharma","77","13592","RAJ"
"893","Atmajayita Ray Barman","77","15436","TPR"
"894","Anuja Das Mohapatra","77","19238","ORI"
"895","Harshita Agrawal","77","20208","CG"
"896","Vidhiya T.","77","21262","PY"
"897","Arunima Pal","77","21755","PNB"
"898","Gunzan Gongo","77","22250","ANP"
"899","Sejjal Joshi","77","22433","MEG"
"900","Sheetal Joshi","77","22434","MEG"
"901","Purba Pratyasha Panda","77","22454","ORI"
"902","Sayani Sarkar","77","22834","WB"
"903","Sohini Banerjee","77","25033","WB"
"904","Muskaan Chatterjee","77","29504","WB"
"905","Prabha Wati S.","77","31457","A&N"
"906","Shreya Singh","77","31606","WB"
"907","Montilly Pul","77","32091","ANP"
"908","Mayuri Barman","77","35295","ASM"
"909","Pooja G.","77","45670","A&N"
"910","Leela Lakshmi R. ","78","1599","AP"
"911","Akshaya  Warang","78","3220","MAH"
"912","Aswathi  N. ","78","3772","KER"
"913","Yajum  Laa","78","3945","ANP"
"914","Megha  Bora Morchana ","78","3947","ASM"
"915","Manidipa Dey","78","6697","WB"
"916","Mayuri Yadav","78","8088","UP"
"917","Taneesha Singh","78","9641","UP"
"918","Mrunmayee Deshpande","78","9712","MAH"
"919","Sanyan Gangwal","78","11938","MAH"
"920","Shreeya Chitoor","78","11983","TS"
"921","Kanishka G.","78","12646","TN"
"922","Praveena S.","78","12880","TN"
"923","Priyanka Kanwal","78","13444","UTR"
"924","Shreya Tiwari","78","15696","WB"
"925","Jerlin Anika J.","78","16805","TN"
"926","Saanvi Mukadam","78","17397","MAH"
"927","Prerana Alvekar","78","17588","MAH"
"928","Nishu Rapria","78","17622","HAR"
"929","Niki Rapria","78","17624","HAR"
"930","Saad Dharmadhikari","78","18407","MAH"
"931","Kritika Mittal","78","18711","HAR"
"932","Hetal Vishwakarma","78","18951","MAH"
"933","Tanisha Joshi N.","78","19227","GUJ"
"934","Aradhana ,","78","20375","KTK"
"935","Siya Singh","78","20456","MAH"
"936","Prutha Dekate","78","20653","MAH"
"937","Sri Vyshnavi S.V.S.","78","20985","TS"
"938","Jahnavi Nammi","78","21211","AP"
"939","Muskaan Khan","78","21476","KTK"
"940","Maheshwari G.","78","22526","TS"
"941","Chitwan Khatri","78","23768","HAR"
"942","Manjari Roy","78","24266","KER"
"943","Shreya Balaji","78","24914","TN"
"944","Pranika Holkar","78","25088","MP"
"945","Ishita Korgaonkar","78","25304","MAH"
"946","A Bhonsle Driti","78","25746","TS"
"947","Saniya Tapkir","78","25855","MAH"
"948","Naina Chauhan","78","28585","DLI"
"949","Tanvi Kalyandurg","78","28771","TS"
"950","Dharni Nekkanti","78","29689","AP"
"951","Vaishnavi Vazhayil","78","31020","AP"
"952","Yanshika Sharma","78","31879","DLI"
"953","Tanisha Singh","78","34395","RAJ"
"954","Subanghi ,","78","35327","DLI"
"955","Zenith Abbigail","78","36689","DLI"
"956","Anika Sinha","78","39397","DLI"
"957","Anushka Gaur","78","40353","UP"
"958","Sanju Kumari","78","42233","RAJ"
"959","Mahi Gumber","78","42462","UP"
"960","Player Name","RankPlayer NamePlayer IDStateRanking PointsGrand Total","Player ID","State"
"961","Maneesha  K.","1","2408","RBI"
"962","Hemanagendra Babu T.","2","2924","RLY"
"963","Kanika Kanwal","2","3156","RLY"
"964","Navaneeth  Bokka","3","6069","TS"
"965","Priya Devi Konjengbam","3","23088","MNP"
"966","Siddarth Elango","4","5804","TS"
"967","Khushi Gupta","5","8316","DLI"
"968","Kavya Gupta","6","14998","DLI"
"969","Chayanit Joshi","7","6263","UTR"
"970","Ridhi Kaur Toor","8","18440","HAR"
"971","Deep Rambhiya","9","6123","MAH"
"972","Manali Bora","10","15893","ASM"
"973","Suraj Goala","10","18860","ASM"
"974","Dhruv Rawat","11","6262","UTR"
"975","Nithin H.V. ","12","11082","KTK"
"976","Nitin Kumar","13","8872","DLI"
"977","Ramya Venkatesh","14","11021","KTK"
"978","Navdha Manglam ","15","21608","DLI"
"979","Gouse Shaik","16","13614","AP"
"980","Pooja D.","17","5690","AP"
"981","Diya Arun","18","9535","KER"
"982","Rohit R. Jayakumar","18","19012","KER"
"983","Arjun Kumar Reddy M.","19","1993","CAG"
"984","Akshit  Mahajan","20","1567","HAR"
"985","Dingku Sing Konthoujam","21","15202","MNP"
"986","Anagha Karandikar","22","17585","MAH"
"987","Mahi Naresh","23","17815","UP"
"988","Aravind V.Suresh","24","12208","KER"
"989","Tanisha Crasto","25","24286","GOA"
"990","Mohamed Rehan R. ","26","576","TN"
"991","Anees Kowser J. ","26","746","TN"
"992","Sumeeth Reddy B.","26","1570","TS"
"993","Anagha Pai","27","16217","TS"
"994","Pavithra Naveen","28","19134","KER"
"995","Nila V. ","29","3659","TN"
"996","Diksha  Choudhary","30","3596","CG"
"997","Ayush  Makhija","30","20630","CG"
"998","Shivani Santosh Singh","31","8213","HAR"
"999","Nazeer Khan A.","32","7164","TN"
"1000","Vaishnavi Khadkekar","33","19680","TS"
"1001","Edwin Joy","34","12206","KER"
"1002","Devashri P.M.","35","22676","TN"
"1003","Anusha C.S","36","11554","TN"
"1004","Varshini V. S.","37","7190","TN"
"1005","Hariharan Amsakarunan","37","30079","TN"
"1006","Samarveer ,","38","22313","CHG"
"1007","Ayush Agarwal","39","23931","UP"
"1008","Aparna  Balan","40","187","PET"
"1009","Balraj Kajla","41","6884","HAR"
"1010","Ishaan Bhatnagar","42","8959","AI"
"1011","Arjunkrishnan Rajaram","43","22395","TN"
"1012","Manjari Roy","43","24266","KER"
"1013","Adhin K. Ajay","43","37634","KER"
"1014","Aadya Variyath","44","11762","TN"
"1015","Sathish Kumar K.","44","12604","TN"
"1016","Nardhana V.R.","44","16270","TN"
"1017","Dhileepan V.","45","25109","TN"
"1018","Sikki Reddy N.","46","1835","PET"
"1019","Sathwik Reddy K.","47","14262","TS"
"1020","Akshaya  Warang","48","3220","MAH"
"1021","Radhika Sharma","49","13809","PNB"
"1022","Sunjith S.","50","2996","KER"
"1023","Amrutha P.","50","14858","KTK"
"1024","Abhyuday Choudhary","51","24835","RAJ"
"1025","Ashwini Bhat K. ","52","4011","KTK"
"1026","Sai Pratheek K.","52","4255","KTK"
"1027","Manjit Singh Khwairakpam","52","13312","MNP"
"1028","Gowrikrishna T.R.","52","17721","KER"
"1029","Juhi Dewangan","53","2232","CG"
"1030","Rohan Kapoor","53","2927","DLI"
"1031","Venket Gaurav Prasad","53","8325","CG"
"1032","Rageshri Garg","53","12353","UTR"
"1033","Hemendrasing Rajput","53","13427","GUJ"
"1034","Janani Ananthakumar","53","14688","KTK"
"1035","Sohail Ahmed","53","18625","UTR"
"1036","Tanisha Joshi N.","53","19227","GUJ"
"1037","Isharani Baruah","53","21496","ASM"
"1038","Rijul Saini","53","24832","HAR"
"1039","Yash  Raikwar","54","4053","MP"
"1040","Riya Mookerjee","55","3277","RLY"
"1041","Trisha Hegde","55","7142","KTK"
"1042","Harika V.","56","2938","TS"
"1043","Sanjai Srivatsa D.","56","4508","PY"
"1044","Vinay Kumar Singh","56","6330","CAG"
"1045","Arulbala R.","56","19413","TN"
"1046","Chirag Sharma","56","20324","PNB"
"1047","Vanshika Chhiba","56","21279","RAJ"
"1048","Santhosh Gajendran","56","21885","TN"
"1049","Aarti Chougale ","57","17878","MAH"
"1050","Pranjal Prabhu  Chimulkar","58","3964","GOA"
"1051","Vighnesh Devlekar","58","3981","MAH"
"1052","Hari Bharathi B.","58","14054","TN"
"1053","Kushal Raj S.","58","16364","KTK"
"1054","Dhanyaa N.","58","18476","TN"
"1055","Vimalraj A.","59","5820","TN"
"1056","Gagana N.S. ","59","8883","KTK"
"1057","Tushar Sharma","60","6253","CAG"
"1058","Archana Varghese","60","20556","KER"
"1059","Pruthvi Roy K.","61","11080","KTK"
"1060","Vikas  Yadav","62","5334","GOA"
"1061","Brijesh Yadav","62","8500","UP"
"1062","Divya B. R.","62","9533","KER"
"1063","Shailja Shukla","62","9930","UP"
"1064","Vishnu Sreekumar","62","19011","KER"
"1065","Mohammad Amaan ","62","20544","RAJ"
"1066","Vembarasan V. ","63","3643","TN"
"1067","Poornima Ch. ","63","3849","TS"
"1068","Shikha Gautam","63","4108","KTK"
"1069","Ashith Surya","63","6992","KTK"
"1070","Shruti Mishra","63","9640","UP"
"1071","Prutha Dekate","63","20653","MAH"
"1072","Abhimanyu Singh","64","1551","MP"
"1073","Chaitanya Reddy K.","64","2382","RLY"
"1074","Apeksha  Nayak","64","4000","KTK"
"1075","Lokeshwaran R.","64","5782","PY"
"1076","Yania Taring","64","5785","ANP"
"1077","Kiran Kumar G.","64","5841","KTK"
"1078","Preethi K. ","64","6082","AP"
"1079","Tejan Fallary","64","6425","GOA"
"1080","Agnus Swapna S.","64","9949","PY"
"1081","Princhee Das","64","10003","ASM"
"1082","Manmohit Sandhu","64","11617","PNB"
"1083","Angshuman Gogoi","64","11916","ASM"
"1084","Yasmin Sayed","64","13525","GOA"
"1085","Advit Bhargava","64","15578","DLI"
"1086","Vanlalringngheta Joseph","64","15686","MIZ"
"1087","Anuja Das Mohapatra","64","19238","ORI"
"1088","Jaji Charu","64","21418","ANP"
"1089","Pranika Holkar","64","25088","MP"
"1090","Abinash Mohanty","64","26467","ORI"
"1091","Lalrempuii ,","64","35382","MIZ"
"1092","Varad Gajbhiye","64","37377","MAH"
"1093","Ashwini  Ponnappa","65","962","PET"
"1094","Shivam  Sharma","65","2542","RBI"
"1095","Poorvisha  S. Ram ","65","2883","RBI"
"1096","Aman Farogh Sanjay","65","3982","AI"
"1097","Manjush Mohan  K. K. ","66","3314","CAG"
"1098","Kevin Wong C.C","66","4452","CHG"
"1099","Rashmitha Donepudi","66","15991","AP"
"1100","Venkata Harsha Vardhan Rayudu V.","66","21644","AP"
"1101","Ningshi Block  Hazarika","67","3112","CAG"
"1102","Lalita Dahiya","67","3172","HAR"
"1103","Shrishti Gupta","67","8389","MP"
"1104","Mohit  Goury","67","9741","HAR"
"1105","Sai Satya Sarvesh Yakala","67","10408","PY"
"1106","Praveena S.","67","12880","TN"
"1107","Prerana Neeluri","67","14314","KTK"
"1108","Harsh  Rana","67","15819","DLI"
"1109","Ruban Kumar R.","67","16770","TN"
"1110","Eshaan Duggal","67","17544","DLI"
"1111","Manya Ralhan","67","21416","PNB"
"1112","Ahillya  Harjani","68","4337","MAH"
"1113","Himanshi Rawat","68","5174","UTR"
"1114","Simran Singhi","68","5562","MAH"
"1115","Swapnil Sagar Mali","68","5790","CG"
"1116","Ritika Thaker","68","6055","MAH"
"1117","Sankarprasad Udayakumar","68","7254","KER"
"1118","Ajinkya Patharkar","68","7788","MAH"
"1119","Navin Prasanth E.","68","7905","TN"
"1120","Sabreeshwaran H.","68","10686","TN"
"1121","Mayank Rana","68","12725","HAR"
"1122","Pratik Ranade","68","12935","MAH"
"1123","Priyanka Kanwal","68","13444","UTR"
"1124","Bhavya Chhabra","68","16245","UP"
"1125","Ayush Raj Gupta","68","16982","UP"
"1126","Srinidhi N.","68","18464","TN"
"1127","Mahek Nayak","68","19043","MAH"
"1128","Dharuniga S. ","68","19414","TN"
"1129","Pragya Katara","68","21275","RAJ"
"1130","Sruti Swain","68","25414","ORI"
"1131","Saniya Tapkir","68","25855","MAH"
"1132","Apoorva ,","68","26068","HAR"
"1133","Kaviya S. ,","68","33013","TN"
"1134","Prince Singh","68","39067","UP"
"1135","Barma Meena","69","1041","CAG"
"1136","Subramanian S. ","69","2483","TN"
"1137","Pallab Bose","69","2725","WB"
"1138","Keifer  Shullai","69","2780","MEG"
"1139","Ekumyala ,","69","3244","NAG"
"1140","Megha  Bora Morchana ","69","3947","ASM"
"1141","Shiwangi  Singh","69","4278","UP"
"1142","Manisha Rani Tirkey","69","6334","JAR"
"1143","Ishita Kumar Manchander","69","7447","CHG"
"1144","Maithili Pal","69","9740","TPR"
"1145","Anuprabha R.","69","10376","TN"
"1146","Sujey Tamboli","69","10627","CG"
"1147","Vikehietuo Kense","69","10693","NAG"
"1148","Abhijit Gogoi","69","11884","ASM"
"1149","Akanksha Pandey","69","13556","BHR"
"1150","Balkeshwari Yadav","69","15269","UP"
"1151","Himanshu Khatana","69","15820","RAJ"
"1152","Sidharath Bhushan","69","17782","BHR"
"1153","Priya Devi Moirangthem","69","19223","MNP"
"1154","Sakshi Phogat","69","19315","RAJ"
"1155","Tanya Mallick","69","21322","CG"
"1156","Aishwarya Mehta","69","22472","MP"
"1157","Rahul Azaad Talluri","69","22744","TS"
"1158","Selina Rai","69","23467","SKM"
"1159","Rajkumar Sasikumar","69","25110","TN"
"1160","Elsarica Umdor","69","26594","MEG"
"1161","Krishika Mahajan","69","28849","J&K"
"1162","Muskaan Chatterjee","69","29504","WB"
"1163","Ruby Katnoria","69","31668","HP"
"1164","Pranav Chandel","69","31884","HP"
"1165","Bhavya Sharma","69","32403","J&K"
"1166","Kusal Lama","69","33192","SKM"
"1167","Binay Mahto","69","34054","JAR"
"1168","Ronel Singh Thoxchom","69","39911","MNP"
"1169","Tarun K. ","70","831","PET"
"1170","Ruth Misha Vinod","70","938","KTK"
"1171","Sri Krishna Priya K. ","70","3658","RBI"
"1172","Aswathi  N. ","70","3772","KER"
"1173","Ashna  Roy","70","3934","KER"
"1174","Lokesh V. ","70","3971","TN"
"1175","Aman  Kumar","70","4788","HAR"
"1176","Hardik Makkar","70","5435","HAR"
"1177","Akshita  A.","70","5677","AP"
"1178","Vasantha Kumar H. R.","70","5837","KTK"
"1179","Deethya ,","70","5874","KTK"
"1180","Sai Pavan Karri","70","7477","AP"
"1181","Kush Chugh","70","8310","HAR"
"1182","Nikita ,","70","8566","HAR"
"1183","Tejas S.","70","8656","KTK"
"1184","Krishna Priya Sujith P.","70","9462","KER"
"1185","Mani Gandan R.","70","9529","TN"
"1186","Prakash Raj S.","70","12020","KTK"
"1187","Abhinn Vasisth","70","12260","HAR"
"1188","Samriddhi Singh","70","13314","UP"
"1189","Chiranjeevi Reddy S.","70","14841","KTK"
"1190","Chirag Arora","70","15395","DLI"
"1191","Hiral Chouhan","70","15869","CG"
"1192","Ayushi Dodhwal","70","16031","DLI"
"1193","Garv Sahni","70","16095","UTR"
"1194","Gayathri Nambiar","70","16263","KER"
"1195","Sanusree K.S.","70","16326","KER"
"1196","Maxen Dain","70","16337","KER"
"1197","Abhinay Sairam Ganta","70","16537","TS"
"1198","Jerlin Anika J.","70","16805","TN"
"1199","Tushar Gagneja","70","17393","UP"
"1200","Deepshikha Singh","70","17509","DLI"
"1201","Vaibhav B.S.","70","17630","KTK"
"1202","Sonali Singh","70","17824","UP"
"1203","Mamaikya Lanka","70","17864","AP"
"1204","Gireesh Nayudu B.","70","17900","AI"
"1205","Amatul Malik Tooba ,","70","18721","TS"
